property_id,largest_property_use_type_1,year_built,number_of_buildings,occupancy,national_median_energy_star,national_median_site_eui,national_median_source_eui,net_emissions_metric_tons,national_median_total_ghg,egrid_output_emissions_rate,multifamily_housing_gross,multifamily_housing_total,multifamily_housing_percent,multifamily_housing_percent_1,property_gfa_self_reported,property_gfa_calculated,number_of_active_energy_meters,number_of_active_it_meters,latitude,longitude,community_board,council_district,census_tract
6690545.0,36787.0,2006.0,1.0,100.0,50.0,79.0,122.5,229.8,180.5,84.5,36787.0,45.0,100.0,100.0,36787.0,36787.0,6.0,0.0,40.729603,-73.952067,301.0,33.0,575.0
10546474.0,212000.0,2017.0,1.0,100.0,50.0,57.9,120.3,810.9,878.8,84.5,212000.0,197.0,100.0,100.0,212000.0,212000.0,5.0,0.0,40.729525,-73.95097,301.0,33.0,575.0
12051143.0,62095.0,1907.0,1.0,100.0,50.0,90.4,119.7,429.2,423.8,84.5,62095.0,43.0,100.0,100.0,62095.0,62095.0,13.0,0.0,40.825361,-73.951243,109.0,7.0,229.0
12051240.0,72774.0,1930.0,1.0,100.0,50.0,81.3,120.1,433.7,363.5,84.5,72774.0,51.0,100.0,100.0,72774.0,72774.0,18.0,0.0,40.822973,-73.952961,109.0,7.0,225.0
20599673.0,116396.0,1925.0,2.0,100.0,50.0,81.3,119.3,475.9,604.5,84.5,116396.0,132.0,100.0,100.0,122676.0,122676.0,9.0,0.0,40.866433,-73.921526,112.0,10.0,293.0
20599688.0,380780.0,1970.0,2.0,100.0,50.0,81.2,113.4,1854.1,1839.9,84.5,380780.0,332.0,100.0,100.0,381980.0,381980.0,13.0,0.0,40.790503,-73.96792,107.0,6.0,177.0
2666538.0,63660.0,1967.0,1.0,100.0,50.0,104.8,135.7,429.8,383.6,84.5,63660.0,84.0,0.0,100.0,63660.0,75240.0,5.0,0.0,40.765445,-73.827207,407.0,20.0,1161.0
2666543.0,51410.0,1920.0,1.0,100.0,50.0,72.2,106.4,434.6,294.4,84.5,51410.0,56.0,0.0,100.0,62840.0,62840.0,30.0,0.0,40.778017,-73.980253,107.0,6.0,157.0
2666560.0,57124.0,1966.0,1.0,100.0,50.0,111.0,149.4,336.5,377.2,84.5,57124.0,90.0,0.0,100.0,57124.0,66924.0,6.0,0.0,40.710978,-73.814883,408.0,24.0,232.0
2666590.0,80109.0,1936.0,1.0,100.0,50.0,85.0,113.4,435.0,396.5,84.5,80109.0,82.0,0.0,100.0,80109.0,80109.0,9.0,0.0,40.852263,-73.927196,112.0,10.0,267.0
